Practice,Ported numbers,Status
All County Oral & Maxillofacial Surgery,"2124802777
2124803777",Completed
"Advanced Dentistry
"," 858-276-7808
 858-276-7813
858-277-7974
858-277-8007
858-277-8140
858-496-7517
858-496-7518
858-496-7521
858-496-7524",Completed
Dr.Yvonne Beckford DDS,770-939-9293.,Completed
High Point Dental Partners SECOND SET,"3368844720

3368844721

3368844722

3368844723",Completed
Michigan Implants and Periodontics (Novi Implants),"248-380-4383

248-380-7505

248-380-7905

248-380-8020

248-380-9457",Completed
Greater Ventura Oral and Facial Surgery,"8057281616
8057281630",Completed
Southeastern Oral & Maxillofacial Surgery (Enterprise & Dothan,3347945267,Completed
"Paradigm - TOFS(Tyler Longview Oral Facial Surgery - Longview ), AOSI(Advanced Dental Implants & Oral Surgery - Issaquah), OFSCMMA(Oral & Facial Surgery Centers for Massachusetts - Cambridge)","(903) 221-0359
(425) 477-7723
(617) 468-3100",Completed
Gulf Shore Dentistry,"(727) 734-8891
(727) 734-8892
(727) 594-6659
(727) 734-2557 (FAX)",Completed
 Children`s Dentistry Of Springfield,"(413) 623-4614
(413) 603-1884",Completed
Bespoke Dentistry,"858-751-2221
 619-614-6866
 619-489-7136
 858-463-6368
 6194897172
858-751-2229- fax new ",Completed
Core Veterinary Surgical Clinic,9784880058,Completed
Apex Endodontic Studio,"407 933 - 0885
407 933 - 0520",Completed
Loyalsock Dental Associates,"(570) 323-6116
(570) 323-5850
(570) 989-5271-INTERNAL TRANSFER",Completed
COAST PERIODONTICS,"(805) 545-9400
(805) 545-8336
(805) 545-9412
(805) 249-7321",Completed
"Wave Dental CALL CENTRE EXTRA NUMBERS -21
","(615) 219-6294  
(615) 219-6220  
(470) 973-2905  
(470) 973-2882  
(281) 809-6966  
(281) 721-4581  
(770) 783-0298  
(770) 573-7991  
(703) 373-7509  
(703) 936-0552  
(470) 973-2903  
(470) 973-2686  
(540) 346-6099  
(540) 944-4274  
(313) 661-3919  
(470) 973-2892  
(470) 973-2808
4704500890
4709732888
3133806464
3133806390",Completed
Roligo Dental -SIDHU, 914-693-3569 ,Completed
Castro Valley Family Dentistry -15," (925) 732-9107
+1 (510) 244-1311
+1 (925) 884-1006
+1 (925) 838-6362
+1 (925) 837-1660
+1 (925) 838-3146
+1 (925) 837-8765
+1 (925) 838-1533
+1 (510) 962-9911
+1 (510) 881-0254
+1 (510) 881-1611
+1 (510) 537-3445
+1 (510) 514-0385
+1 (510) 881-1612
+1 (510) 537-3402",Completed
Enosburg Family Dental -2,"8029338316 , +18029336555",Completed
 CVD Kids LLC,"513-770-1450, 513-770-1454",Completed
Forge Indianapolis (New Albany Oral Surgery,"Phone Number: (812) 944-4000
Fax Number: (812) 944-4505",Cancelled
Periodontal Health Associates,"434-455-2444
434-237-2050",Completed
Comfort Dental,"3143554140 ; 3148391100 ; 3148379777, 3148375544

",Completed
Childrens Dentistry of Springfield,"4137961616
4137961617",Completed
Advanced Dental Implants & Oral Surgery - Issaquah,"425-477-7784
",Completed
Vineland Dental,"856-507-1020-Fax Number
856-205-9500(Main & Texting)
856-205-0752-Voice Rights Only
856-205-0733-Voice Rights Only",Completed
Lincolnton Family Dentistry/ practice dynamics,"7047353117
7047351107",Completed
Mahomet Animal Hospital,"(217) 590-0367
(217) 590-0371
(217) 590-4271
(217) 590-4272
(217) 590-4273",Completed
Dental Clinic of Marshfield -61,"715-387-1702
715-486-1751
715-486-1742
715-387-4053
715-384-7915
715-387-8174
715-486-1730
715-486-1731
715-486-1732
715-486-1733
715-486-1734
715-486-1735
715-486-1736
715-486-1737
715-486-1738
715-486-1739
715-486-1740
715-486-1741
715-486-1743
715-486-1744
715-486-1745
715-486-1746
715-486-1747
715-486-1748
715-486-1749
715-486-1750
715-486-1752
715-486-1753
715-486-1754
715-486-1755
715-486-1756
715-486-1757
715-486-1758
715-486-1759
715-486-1760
715-486-1761
715-486-1762
715-486-1763
715-486-1764
715-486-1765
715-486-1766
715-486-1767
715-486-1768
715-486-1769
715-486-1770
715-486-1771
715-486-1772
715-486-1773
715-486-1774
715-486-1775
715-486-1776
715-486-1777
715-486-1778
715-486-1779
715-486-1780
715-486-1781
715-486-1783
715-486-1784
715-486-1787
715-486-1788
715-486-1789
",Completed
"Alabama Oral & Facial Surgery, Mobile Oral Surgery-23","2056821099
2054032906
2054038827
2054038828
2054763460
2054039234
2054039837
2054037383
2053386688
2053380387
2053386512
2053386513
2053388818
2514713381
2513387456
2514713346
2514713382
2513382946
2512065012
2512065013
2514729770
2514729458
2514713383",Completed
Dentists of Hinsdale Lake -5,"6303235333
6303235345
6303232537
6304541105
6158348548 ",Completed
Huntsville Oral Surgery,"2565331288  
2565331282  
2565510327 
2565331283
2565510779",Completed
Oraluxe Dental,"Practice Main Phone Number : 310-553-7643 
Practice Fax Number : 310-553-6854",Completed
Wave Dental / Atlanta,"(404) 842-7200 
(844) 252-0924",Completed
Nurture Family Dental,"8102272744
8102272908
8107763076",Completed
Lollipop Pediatric Dentistry and Sweet Smiles Orthodontics,"714) 854-3118
(714) 854-3473
(714) 854-3483
(714) 709-8246
(714) 854-3094
(714) 854-3406
(714) 542-8933
(714) 854-3492
(714) 854-3449
(562) 262-6474
(562) 328-2039
(714) 880-4031
(714) 888-7164
(714) 868-0586
(714) 494-9574
(714) 519-2158
(714) 823-9563
(714) 831-0913
(714) 592-0569
(714) 519-6946
(714) 640-6912
(714) 640-6913
(714) 829-3883
(714) 710-7854
(714) 823-8447
(714) 854-3427
(714) 854-3437
(714) 854-3443
(714) 868-0565
(714) 888-7189
(949) 317-2497
(714) 854-3133
(714) 823-9731
(714) 594-7743
(714) 769-9183
(714) 912-6972
(949) 250-1100
(562) 270-9719
(714) 598-1036
(562) 542-2526
(714) 528-8252
(714) 893-7539
(714) 592-0039",Completed
,,
,,
Dental Horizons,"(720) 526-3146, (720) 204-2168",Completed
Paradigm Accounts Payable Number,"402-413-7202
",Completed
Mirelez Wellness Center,"(559) 435-3113
(559) 435-5785 (Fax)
(559) 435-5903",Completed
"Texas Periodontists - South , Texas Periodontists - North","(512) 222-5721
(512) 222-5724
(512) 309-5273",Port Scheduled
Google Voice Number,860-325-0240 ,Completed
JC Endo,"212) 737-6112
(212) 582-2335
(201) 484-5404
(201) 433-5100
(201) 244-4040
(201) 265-3334
(973) 281-4184
(973) 743-5500",Completed
Oncall Wellness Dental,559- 900-2332,Completed
Sound Dental Partners / Harvey,"(252) 527-5333 and (252) 527-1197
",Completed
Sound Dental Partners- McLamb,"(919) 734-2857
(919) 581-0807  ",Completed
 Lafayette OMS  15,"7652508460
7652508461
7652508462
7652508463
7652508464
7652508465
7652508466
7652508467
7652508468
7652508469
7658070230
7658070231
7658070232
7658070233
7658070234",Completed
HighFive Healthcare Corporate,2055060246,Completed
Memphis Endodontics 10,"(901)380-7994 
(901)467-1501 
(901)589-9280 
(901)286-1600 
(901)221-8939 
(901)467-1500 
(901)761-1533 
(901)761-1656 
(901)737-1927 
(901)761-0180",Completed
Dothan Endodontics,3347930067,Completed
HighFive Corporate -fax numbers only,"2513430154
2056639949",Completed
South Fork Family Dentistry,"(631) 653-4479
(631) 653-4491",Completed
 Acorn Dentistry for Kids 19,"503) 874-4562 FAX
(503) 874-6167 FAX
(541) 705-2470
(503) 400-6674
(503) 967-5017
(503) 874-4561
(503) 567-5170
(541) 576-8518
(503) 765-7679
(503) 606-8184
(503) 874-6319
(541) 939-8561
(503) 416-6455
(503) 567-4607
(541) 200-6811
(503) 874-4560
(503) 219-1009
(971) 433-0717
(503) 820-4516",Completed
Cedar Village Dentistry,"513-770-4370
 513-770-4325",Completed
Aria Dental Implants & Perio -8,"(916) 446-9100 (Main)
(916) 446-4316
(916) 446-9111
(916) 619-7111
(916) 619-7112
(916) 786-9100
(916) 299-3000
(916) 446-2247 (Fax)",Rejected Invalid pin
BrookwoBallard Endo,"2054148244
2054141499
2054148240
2054148241",Completed
Space Coast Oral/Bird and Johnson,"3213582863 
3216315135 
3216317000
 3216317009",Completed
Corpus Christi -10,"(361) 993-2874 
(361) 993-5823 
(361) 993-9548 
(361) 993-2290
361 992 4961  
(361) 993-2291 
(361) 993-2753 
(361) 993-2294 
(361) 986-1510 
(361) 214-2988",Completed
EasyVet Goodyear 10,"(602) 633-4008 

(602) 661-9455

 (602) 661-9450

 (602) 661-9451 

(602) 661-9452

 (602) 661-9453

(602) 661-9454

 (602) 661-9456

 (602) 661-9459

 (602) 661-9460",Completed
Oral Surgery Associates - Albertville & Gadsen,"256)485-6100 
(256)878-1387 
(256) 279-8904
(256)492-6363",Completed
Pausa OMS,"(678 )257-7072
(678 )319-9930",Completed
Cape Fear Endodontics,"(910) 343-5666 
(910) 763-7209 
(910) 763-7571 
(910) 763-9428 
(910) 763-9476 
(877) 671-6700",Completed
Oral Surgery & Implant Center of North County,760) 295-4840 (760) 295-1034,Completed
Salem Fields Family Dental,540-786-2000 Fax Number: 540-786-7469,Completed
Elevated Dental Care of Fredericksburg,"5407869151 Fax # for Elevated
5407862311 Phone # for Elevated
5404950285 Temp #  ",Completed
EA Trussville,2056616050,Completed
North Mississippi OMS 7,"(662) 842-8200 
(800) 844-8200 
(662) 844-3157 
(662) 287-8299
(662) 286-8789 
(662) 996-1100 
(662) 996-1101",Completed
Crystal Lake Dental Arts," (815) 459-9444,main
815-459-9482 fax",Completed
Liv Endodontics,"9735776500
 9735776600
 9086088018
 9082198035
 9086088029
",Completed
Sleek dental,"5126533500 , +15127661900
",Completed
Corporate Business Center 49,"""4133370003
5082059742
5082327209
5082516120
5082516628
5082665808
5082825040
5082825042
5082825047
5082825048
5082825051
5082825093
5083425388
5084449344
5084855092
5088612258
5086217961
5086246294
5087090380
5087675675
5088720781
5088723041
5088723072
5088723325
5088790270
5089061122
5089061123
5089061124
6174208405
7742039639
8603371526
8603371583
8603371971
8603372024
8603372207
8603372379
8603372488
8603373062
8603373162
8603373188
8604046551
8609670889
9705460483
5083165332
5086808112
5086808322
5086808326
5088036734
5088036917""",Completed
Call Center - Passion Dental,"9784880031
5089709004
5082036444
5086808180",Completed
"Expedition Pediatrics and Orthodontics
","
Fax:
417-719-7861
",Completed
Cape Fear Endodontics additional,"  (910) 343-3333 PIN 2832  ",Completed
Southeastern Oral & Maxillofacial Surgery additional,3347026983,Completed
Wayne Oral Surgery,"5614437001
5614437087
5619484047",Completed
The New Pediatric Dental Care,"3217759571
4077700171
4072080288
4079778884",Completed
The Kids' Dental Office of Phoenix & Orthodontics -18,"6026613830 
6026613831 
6026613832 
6026613833 
6026613834 
6026613835 
6235361542 
6235361696 
6237609081 
6237609083 
6237609084 
6239354687 
6239356818 
6239359873 
6237609082
6235366700
6237489748
6232336406",Pending
Smiles and Co,708 866 3111,Completed
Tuttle Dental Care,"(609) 799-2929, (609) 337-4960",Completed
Austin Kids Teeth - Oral Surgery Specialists of Austin,5128383109,Completed
Roden OMS,"2058705834
2058701618
2058556560
2055098008
",Completed
Highline Dental,407 565 2211,Completed
Georgetown Oral,"5028635838
5028635858
5022062905
",Pending
Cornerstone Endodontics,8779062075,Completed
Pediatric Dentistry at Vinings - beBright,678 - 305 - 1015,Completed
Affordable Dental Health Providers SAPTHA,"5629237904
8003432347
5629238563
5624541260",Completed
Westwind,4806560393,Completed
Call Center - Passion Dental,5086808120,Completed
SEOAL -FAX num,(334)702 0202 -fax,rejected for being inactive/disconnected.
 Cedar Village Dentistry - 3 rd location,513-813-0960 phone and 513-813-0961,Completed
